"%1 has been deleted.","%1 has been deleted."
"Manage unused media","Manage unused media"
"Clean Media","Clean Media"
"Please select one or more media.","Please select one or more media."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
Delete,Delete
"Delete %1","Delete %1"
"Are you sure you wan't to delete %1 ?","Are you sure you wan't to delete %1 ?"
"Reload Data","Reload Data"
"Delete items","Delete items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
Thumbnail,Thumbnail
"Uploaded Date","Uploaded Date"
"File Name","File Name"
"File Path","File Path"
"Size (bytes)","Size (bytes)"
Actions,Actions
