"%1 has been deleted.","%1 a été supprimé."
"Manage unused media","Gérer les médias inutilisés"
"Clean Media","Nettoyer les médias"
Delete,Effacer
"Please select one or more media.","Veuillez sélectionner un ou plusieurs médias."
"A total of %1 record(s) have been deleted.","Un total de %1 enregistrement(s) a été supprimé."
"Delete %1","Effacer %1"
"Are you sure you wan't to delete %1 ?","Etes-vous sûr que vous voulez supprimer %1 ?"
"Reload Data","Recharger les données"
"Delete items","Supprimer les éléments"
"Are you sure you want to delete selected items?","Voulez-vous vraiment supprimer les éléments sélectionnés?"
Thumbnail,Vignette
"Uploaded Date","Date de téléchargement"
"File Name","Nom du fichier"
"File Path","Chemin du fichier"
"Size (bytes)","Taille (bytes)"
Actions,Actions
